x,y
811.4588356407531,-145.41873996608373
182.74610584304557,-55.17069732310216
58.33370196668658,-168.76113331212315
16.34691250723741,-109.43129620425793
-5.036577745735141,-86.5270379406148
-175.45950922545958,-198.18431557149637
-129.6050419165582,-153.36828329327682
-154.55742306824104,-162.17364213172462
-151.02638036485217,-153.23939999950775
-126.13159896626681,-126.95667641056485
-110.25882049473196,-113.75724104443316
-570.1090734814524,-486.28783739536937
-509.30276433617183,-438.27606399069606
-481.3601400563238,-412.1725218868924
-423.4492636338389,-371.1139458903692
-441.16328622136064,-382.4458596250681
-561.9049154871923,-479.58507588946736
-516.4996014177084,-441.75838237284756
-464.39598612592147,-399.24470121683765
-536.7424357426211,-455.72258190496717
-491.92692083808856,-420.6076004738808
-623.7109320757177,-527.1964774030287
-585.8589227904952,-505.5524676731886
-624.1162073237114,-534.5348299737192
-595.3414656438398,-509.74838468704235
-562.6070054668128,-481.4180623734157
-646.2104508232012,-570.578285045826
-616.0129015387075,-543.1644807540614
-611.3316804164974,-536.336464385481
-574.3133003404788,-504.64262375685445
-586.0287096684746,-515.7083803127308
-601.0434056415108,-526.2073913939265
-1009.3156650410251,-854.2431294148664
-1022.9994430110511,-868.9088857538271
-1635.942313657765,-1360.0278599637672
-1639.4771217800742,-1361.733754531324
-1696.9474866552098,-1406.7077661434341
-1630.3649921010337,-1352.255978287722
-1719.5434811674343,-1424.0150846739718
-1661.7202792464118,-1376.1056489461473
-1611.911950210727,-1336.8009807717294
-1555.6364366268906,-1290.3354109390666
-1517.2496992386882,-1262.4005768062773
-1485.0993938695708,-1236.0158083801466
-1461.0483810084488,-1218.6028401901042
-3511.4496208772402,-2865.4965242668322
-3600.2323285778543,-3011.3605174671766
-3546.86134254341,-2972.2670620407725
-3452.450798236191,-2894.0285994507767
