Omah Ndeso: RSSI=-52 dBm, Jarak=10.00 meter
Omah Ndeso: RSSI=-46 dBm, Jarak=5.01 meter
Omah Ndeso: RSSI=-40 dBm, Jarak=2.51 meter
Omah Ndeso: RSSI=-40 dBm, Jarak=2.51 meter
Omah Ndeso: RSSI=-44 dBm, Jarak=3.98 meter
Omah Ndeso: RSSI=-44 dBm, Jarak=3.98 meter
Omah Ndeso: RSSI=-44 dBm, Jarak=3.98 meter
Omah Ndeso: RSSI=-46 dBm, Jarak=5.01 meter
Omah Ndeso: RSSI=-46 dBm, Jarak=5.01 meter
Omah Ndeso: RSSI=-47 dBm, Jarak=5.62 meter
Omah Ndeso: RSSI=-47 dBm, Jarak=5.62 meter
Omah Ndeso: RSSI=-47 dBm, Jarak=5.62 meter
Omah Ndeso: RSSI=-47 dBm, Jarak=5.62 meter
Omah Ndeso: RSSI=-49 dBm, Jarak=7.08 meter
Omah Ndeso: RSSI=-49 dBm, Jarak=7.08 meter
Omah Ndeso: RSSI=-46 dBm, Jarak=5.01 meter
Omah Ndeso: RSSI=-46 dBm, Jarak=5.01 meter
Omah Ndeso: RSSI=-43 dBm, Jarak=3.55 meter
Omah Ndeso: RSSI=-43 dBm, Jarak=3.55 meter
Omah Ndeso: RSSI=-43 dBm, Jarak=3.55 meter
