AP1,AP2,AP3
-39,-43,-40
-34,-41,-49
-44,-40,-40
-31,-39,-42
-49,-35,-56
-40,-28,-48
-39,-52,-38
-43,-28,-44
-45,-44,-38
-51,-34,-47
-53,-43,-44
-51,-32,-43
-59,-46,-40
-45,-29,-39
-52,-49,-46
-48,-45,-33
-54,-54,-43
-51,-34,-32
-53,-56,-41
-52,-38,-43
-50,-60,-49
-54,-39,-51
-57,-44,-48
-38,-35,-41
-62,-40,-52
-44,-35,-37
-46,-40,-57
-40,-35,-37
-65,-37,-50
-61,-35,-36
-54,-43,-59
-45,-26,-42
-42,-35,-62
-41,-38,-43
-61,-45,-52
-44,-34,-48
-48,-52,-58
-42,-46,-45
-40,-36,-48
-40,-43,-51
-46,-44,-48
-31,-42,-55
-35,-41,-65
-27,-47,-45
-39,-56,-47
