x,y
-259.46642507843626,-230.5586612539198
-92.17586433694083,-81.35312342118554
-51.30601754339069,-48.04696921967848
-43.870304568083434,-40.20961685458528
-22.779121037171482,-28.777226768318574
-18.5404815149289,-22.090475445251236
-14.459592936428454,-17.645546397720715
-13.398322181172249,-15.2338906540666
-13.957054171263442,-17.0584347987957
-12.468920700762496,-14.758210180793961
-12.606411395422423,-14.356859893802692
-67.72999330546936,-58.053341844791596
-80.34591820982574,-72.46231289029434
-76.96973446425501,-69.2722938769431
-48.22636077135028,-63.17710863483603
-48.921067442373264,-67.36693208328325
0.7020536718787381,-63.888244627378555
-17.667226101614734,-74.27937757854441
-17.26768984008055,-80.24057498581928
-14.647984773647513,-73.22672801188426
-7.796589596092113,-66.98362684930979
-6.3650028325322765,-63.54011336615875
-4.232593593606198,-60.46931187191268
-45.52549470898624,-89.5684915380444
-14.469004189765524,-112.53122897654924
-15.759178159036228,-108.68731160135356
-14.277248890342248,-106.30171478938779
-27.232434924767436,-109.86001740328994
-38.08429877235526,-113.22374765187594
-35.46109405387616,-106.64413297262736
-38.913531088941,-104.79701998796125
-67.34020031178741,-123.42704456726166
-76.44282006433735,-128.91510005504864
-72.49278344505639,-122.46890796321655
-86.22881182930432,-130.7270068950556
-140.10380739870064,-174.35681957736014
-139.1895575835292,-175.7684218373679
-157.26290065026146,-187.81585970010676
-147.80946691944476,-188.8469314356865
-149.72509237327682,-189.8569799350626
-148.6401037731263,-193.4385113292748
-148.14800368948724,-190.57855643262806
-157.09403176290223,-197.19308842874554
-174.58284279638622,-219.17943819027863
-165.3114987742227,-214.4424334689385
-158.01684061007407,-206.06100482606155
-140.54066581808522,-199.58900652727374
-130.16969409903737,-192.67120539624796
-136.82679913318987,-198.46702562166394
-129.99491275180034,-190.908504866245
